id,xgb,lasso,svr,ela,dnn,prediction
1.0,0.06522779911756516,-0.05038056143814629,0.046369237776473504,0.3572402851343077,-0.0006545633,0.6
2.0,0.014879385940730572,-0.23894005199017565,0.06483561785137848,0.14816107291143776,-0.0006545633,0.6
3.0,0.013924800790846348,-0.22077867341426627,0.06074747385030843,0.16207293304108594,-0.0006545633,0.6
4.0,0.0415685698390007,-0.18732082363806413,0.05356573576985291,0.19232490122143853,-0.0006545633,0.6
5.0,0.0415685698390007,-0.11433676035650153,0.04124658555554017,0.2534635288147502,-0.0006545633,0.6
6.0,0.05168291553854942,-0.05755041861708099,0.03733554863097499,0.302746266208449,-0.0006545633,0.6
7.0,0.06468073278665543,-0.02106735623982736,0.032014120291905535,0.33456798208456595,-0.0006545633,0.6
8.0,0.06605751812458038,-0.002754811445627503,0.027107590990129715,0.3507399656320782,-0.0006545633,0.6
9.0,0.06674422323703766,0.06944257584726987,0.03174423847208452,0.4109959328922401,-0.0006545633,0.6
10.0,0.06674422323703766,0.07302239547006018,0.03274918549892991,0.4134188988643488,-0.0006545633,0.6
11.0,0.06674422323703766,0.13452970834517597,0.04725880832367668,0.46393518870793704,-0.0006545633,0.6
12.0,0.06605751812458038,0.13421570460812715,0.05064335705242229,0.4622057455729487,-0.0006545633,0.6
13.0,0.07246988266706467,0.14732333855782498,0.051106976865232134,0.4720863660356325,-0.0006545633,0.6
14.0,0.07246988266706467,0.17578558879196304,0.0628508691882752,0.4940792469177189,-0.0006545633,0.6
15.0,0.08359309285879135,0.1657493409454629,0.06683581556268603,0.4840233252992996,-0.0006545633,0.6
16.0,0.08359309285879135,0.1433604199922902,0.06871592193268228,0.4636411289739075,-0.0006545633,0.6
17.0,0.05305904522538185,0.1490305687000788,0.07012346290398952,0.4671782128662465,-0.0006545633,0.6
18.0,0.05305904522538185,0.0966794585029005,0.06542049722081966,0.42218657656162106,-0.0006545633,0.6
19.0,0.09117142111063004,0.07287658325331758,0.06625208131348792,0.40137706281548136,-0.0006545633,0.6
20.0,0.05059712752699852,-0.0055481390388210094,0.05581255419159881,0.3349798954301444,-0.0006545633,0.6
